,0
from_return_mismatch,0.1826995774961085
received_count,0.14965532577273738
ip_diversity_ratio,0.028018679119412915
timezone_offset,0.023393373360017743
has_x_mailer,0.02232599510784965
content_type_complexity,0.013964865465866106
reply_to_differs,0.010718256615521459
unique_relay_ips,0.006982432732933063
display_name_empty,0.0069379586390927225
from_has_numbers,0.004981098510117854
has_dkim,0.0034689793195463283
from_free_provider,0.0014231710028907996
unicode_in_subject,0.0012897487213697767
day_of_week,0.001200800533689117
uses_quoted_printable,0.0012008005336890948
unicode_in_from,0.000933955970647049
display_name_is_email,0.000933955970647049
sent_business_hours,0.00044474093840338733
has_valid_date,0.00026684456304204573
data_quality_score,0.00026684456304204573
missing_message_id,0.0
has_spf,0.0
uses_base64,0.0
all_private_ips,0.0
has_auth_results,0.0
has_extreme_complexity,0.0
has_unusual_timezone,0.0
