threshold,precision,recall,f1,tn,fp,fn,tp
0.2,0.8888888888888888,0.9731182795698925,0.929098492139878,2775,181,40,1448
0.3,0.9211376858435681,0.9576612903225806,0.9390444810543657,2834,122,63,1425
0.4,0.9382879893828799,0.9502688172043011,0.9442404006677798,2863,93,74,1414
0.5,0.946974847042828,0.9361559139784946,0.9415343021290977,2878,78,95,1393
0.6,0.9574319609211445,0.9220430107526881,0.9394043135912358,2895,61,116,1372
0.7,0.964824120603015,0.9032258064516129,0.9330093717459216,2907,49,144,1344
0.8,0.9788997739261492,0.8729838709677419,0.9229129662522203,2928,28,189,1299
