,0
from_return_mismatch,0.333129559093444
received_count,0.21459261011475564
unique_relay_ips,0.110463422066454
ip_diversity_ratio,0.10053850421675882
timezone_offset,0.07481603780326845
has_x_mailer,0.038217448517889184
content_type_complexity,0.03281829160390562
day_of_week,0.022584528241074948
reply_to_differs,0.016036479122693115
has_dkim,0.012538377793773026
display_name_empty,0.01008658012208801
from_has_numbers,0.009349331515676353
sent_business_hours,0.007296481770008614
from_free_provider,0.005566067226009912
unicode_in_subject,0.004248881606938028
uses_quoted_printable,0.0034223601878283338
unicode_in_from,0.001862102358031509
display_name_is_email,0.0016733928524635825
all_private_ips,0.00026641389047129047
uses_base64,0.0001958546108826772
has_valid_date,0.00015168121901176182
data_quality_score,0.00014228322299049992
has_unusual_timezone,3.3108435826172728e-06
has_auth_results,0.0
has_spf,0.0
has_extreme_complexity,0.0
missing_message_id,0.0
