threshold,precision,recall,f1,tn,fp,fn,tp
0.2,0.9069916613213599,0.992280701754386,0.947721179624665,2824,145,11,1414
0.3,0.9322709163346613,0.9852631578947368,0.9580348004094166,2867,102,21,1404
0.4,0.9489795918367347,0.9789473684210527,0.9637305699481866,2894,75,30,1395
0.5,0.9677192982456141,0.9677192982456141,0.9677192982456142,2923,46,46,1379
0.6,0.9755922469490309,0.9536842105263158,0.9645138396025551,2935,34,66,1359
0.7,0.9808400884303611,0.9340350877192982,0.9568655643421999,2943,26,94,1331
0.8,0.991466252909232,0.8968421052631579,0.941783345615328,2958,11,147,1278
